City,Country,Latitude,Longitude,Date,Cloudiness (%),Humidity (%),Max Temperature (°C),Wind Speed (m/s)
Bengkulu,ID,-3.8004,102.2655,1619514452,38,76,28.86,2.69
Kavieng,PG,-2.5744,150.7967,1619514472,98,77,27.98,3.69
Loandjili,CG,-4.7561,11.8578,1619514409,40,79,29.0,3.6
Qaanaaq,GL,77.484,-69.3632,1619514472,99,71,-0.12,3.79
Barra de Tecoanapa,MX,16.5167,-98.75,1619514472,73,72,25.68,2.72
Ushuaia,AR,-54.8,-68.3,1619514328,75,87,5.0,1.03
Luancheng,CN,37.8792,114.6517,1619514231,0,15,25.0,7.0
Kapaa,US,22.0752,-159.319,1619514473,1,88,21.0,2.57
Looc,PH,12.2605,121.9926,1619514473,47,69,28.28,5.55
Ust-Kuyga,RU,70.0167,135.6,1619514473,100,92,-5.64,3.95
Rikitea,PF,-23.1203,-134.9692,1619514473,98,74,24.92,3.4
Punta Arenas,CL,-53.15,-70.9167,1619514449,0,93,7.0,1.54
Qujing,CN,25.4833,103.7833,1619514178,71,66,18.15,5.34
Tiznit Province,MA,29.5833,-9.5,1619514473,50,67,15.71,2.28
Poso,ID,-1.3959,120.7524,1619514473,39,76,28.08,0.55
Hithadhoo,MV,-0.6,73.0833,1619514474,35,59,28.39,1.33
Atuona,PF,-9.8,-139.0333,1619514474,91,74,26.5,7.31
Barrow,US,71.2906,-156.7887,1619514474,90,79,-8.0,4.12
Ilulissat,GL,69.2167,-51.1,1619514474,90,93,1.0,3.09
Geraldton,AU,-28.7667,114.6,1619514325,8,44,27.0,6.69
Port Alfred,ZA,-33.5906,26.891,1619514464,49,68,22.14,7.83
Dongying,CN,37.4564,118.4856,1619514474,3,13,22.99,5.41
São Félix do Xingu,BR,-6.6447,-51.995,1619514469,99,99,21.75,0.06
Bara,NG,10.3744,10.7288,1619514475,78,36,33.93,2.14
Ribeira Grande,PT,38.5167,-28.7,1619514475,75,77,16.0,3.6
Tuy Hoa,VN,13.0833,109.3,1619514190,100,68,29.15,4.72
Castro,BR,-24.7911,-50.0119,1619514475,97,95,13.73,1.3
Dikson,RU,73.5069,80.5464,1619514475,100,97,-0.08,8.02
Mar del Plata,AR,-38.0023,-57.5575,1619514476,40,93,12.78,1.54
Puerto Ayora,EC,-0.7393,-90.3518,1619514476,16,91,23.46,2.15
Lebu,CL,-37.6167,-73.65,1619514476,24,80,11.37,2.42
Weligama,LK,5.9667,80.4167,1619514477,98,66,30.08,3.77
Lompoc,US,34.6391,-120.4579,1619514477,42,76,11.0,2.57
Daru,PG,-9.0763,143.2092,1619514477,100,85,26.61,3.76
Mount Gambier,AU,-37.8333,140.7667,1619514477,90,94,13.0,4.12
Bowen,AU,-20.0167,148.2333,1619514477,40,73,22.0,3.6
Auki,SB,-8.7676,160.7034,1619514477,100,85,26.24,0.71
Airai,TL,-8.9266,125.4092,1619514477,94,71,17.41,0.6
Mataura,NZ,-46.1927,168.8643,1619514478,98,87,6.11,0.45
Abhā,SA,18.2164,42.5053,1619514416,75,67,22.0,4.12
Dehlorān,IR,32.6941,47.2679,1619514478,99,10,36.91,7.21
Toora-Khem,RU,52.4675,96.11,1619514478,100,32,10.36,2.08
Port Lincoln,AU,-34.7333,135.8667,1619514478,49,72,17.28,2.97
Chui,UY,-33.6971,-53.4616,1619514478,4,87,10.29,3.44
East London,ZA,-33.0153,27.9116,1619514478,0,60,23.0,8.75
Los Llanos de Aridane,ES,28.6585,-17.9182,1619514406,20,64,21.0,1.03
Lashio,MM,22.9333,97.75,1619514294,75,26,32.75,3.34
Olafsvik,IS,64.8945,-23.7142,1619514479,28,87,6.4,3.43
Cape Town,ZA,-33.9258,18.4232,1619513992,75,94,20.56,2.06
Busselton,AU,-33.65,115.3333,1619514479,5,64,23.89,0.89
Caravelas,BR,-17.7125,-39.2481,1619514489,5,86,22.25,2.35
Yellowknife,CA,62.456,-114.3525,1619514489,20,78,-17.78,3.09
Banda Aceh,ID,5.5577,95.3222,1619514490,94,67,29.88,4.18
Vaini,TO,-21.2,-175.2,1619514490,75,94,25.0,4.12
Tasiilaq,GL,65.6145,-37.6368,1619514490,40,80,2.0,3.09
Hualmay,PE,-11.0964,-77.6139,1619514456,25,94,17.92,3.29
San Patricio,US,28.017,-97.5169,1619514490,90,88,25.0,4.63
Mitsamiouli,KM,-11.3847,43.2844,1619514490,92,66,28.63,1.99
Coahuayana Viejo,MX,18.7333,-103.6833,1619514490,8,62,21.55,1.13
Flinders,AU,-34.5833,150.8552,1619514491,17,76,18.33,0.45
Tuktoyaktuk,CA,69.4541,-133.0374,1619514491,6,93,-18.54,3.93
